loss,val_loss
2.3500138246096096,0.22844629
1.9433301870639508,0.25900525
1.9126420938051665,0.2900403
1.7161262768965502,0.23349814
1.2331488178326533,0.28506184
1.3874435837452228,0.29019246
1.3372281606380756,0.3578918
1.17001316180596,0.22876501
1.2495593520311208,0.17874676
1.3619026358310993,0.19899768
0.9179120934926547,0.22366552
1.1492968705984263,0.31320444
0.9807872038621169,0.2990211
1.092736922777616,0.32717463
0.7379363362605755,0.4417774
0.9539890197607187,0.38824508
0.9688159227371216,0.30043602
0.7570093847238101,0.18129753
0.9281644087571365,0.14365196
0.744316985973945,0.21749668
0.8241027066340814,0.24158981
0.7079264154801002,0.26573795
0.7627594172954559,0.21127002
0.5946195102654971,0.29769668
0.8107948165673476,0.21392564
0.6121577070309565,0.2900048
0.6732019965465252,0.3774709
0.649576838199909,0.3016085
0.6734645916865423,0.21838257
0.514745987378634,0.26344737
0.6756689823590792,0.20991154
0.6211888858905206,0.20499592
0.6713331685616419,0.11630372
0.7314532055304601,0.1910598
0.6550350510157071,0.14979303
0.5378992786774268,0.30127412
0.4615952762273642,0.20801821
0.5055152475833893,0.08608284
0.5484625811760242,0.46926054
0.553165621482409,0.09440811
0.6073153844246497,0.2821055
0.36557523103860706,0.5856463
0.4602604645949144,0.74149764
0.41662160479105437,0.3576735
0.3957120730326726,0.06776188
0.3983153930077186,0.070414715
0.5106360866473272,0.44443613
0.47445172529954177,0.24884427
0.4501398136982551,0.11772909
0.5213208473645724,0.13832065
0.4405762071792896,0.102648064
0.3947967222103706,0.31742844
0.3845424560400156,0.12162475
0.41050873352931094,0.16095918
0.3857982296210069,0.53411347
0.4080608853927025,0.44071975
0.438405630680231,0.19605699
0.40705467072817,0.43522748
0.39022865662207973,0.74913734
0.24192231664290795,0.23433311
